trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.4591870634457125, 'e': 0.918374126891425}",30,0,-148.07232450810136,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
131,False,"{'a': 0.45858591922231057, 'e': 0.9171718384446211}",30,0,-32.99229433412821,"{0: 22, 1: 6, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.4579809821305672, 'e': 0.9159619642611344}",20,0,-117.15377665647613,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
133,False,"{'a': 0.4573722692645526, 'e': 0.9147445385291052}",20,0,-128.3513957426144,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
134,False,"{'a': 0.45675979780890036, 'e': 0.9135195956178007}",20,0,-39.871012113864765,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
135,False,"{'a': 0.45614358503800034, 'e': 0.9122871700760007}",25,15,-0.3429222979867179,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.4555236483151876, 'e': 0.9110472966303752}",25,0,-135.33115707888538,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
137,False,"{'a': 0.45490000509192874, 'e': 0.9098000101838575}",20,0,-105.61250741711936,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
138,False,"{'a': 0.4542726729070043, 'e': 0.9085453458140086}",30,0,-166.6845195984258,"{0: 15, 1: 6, 2: 5, 3: 3, 4: 1}",0
139,False,"{'a': 0.45364166938568823, 'e': 0.9072833387713765}",25,0,-135.3839309834403,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
140,False,"{'a': 0.45300701223892403, 'e': 0.9060140244778481}",20,0,-67.6272520550895,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
141,False,"{'a': 0.45236871926249794, 'e': 0.9047374385249959}",25,0,-96.19191969969248,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
142,False,"{'a': 0.45172680833620876, 'e': 0.9034536166724175}",25,0,-120.4375499503055,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
143,False,"{'a': 0.4510812974230349, 'e': 0.9021625948460698}",20,0,-131.54594789843847,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
